carmel ave	1
shakespeare rd	2
milford rd	1
northcote rd	1
takapu st	1
lake rd	5
como st	1
owens rd	1
harley rd	1
glenfield rd	1
st marys pl	2
onewa rd	3
wernham pl	1
mokoia rd	1
kawana st	1
beach rd	1
fields pde	1
oteha valley rd	2
northcross dr	1
east coast rd	1
don mckinnon dr	2
kristin lane	1
albany hwy	2
appleby rd	1
hobsonville rd	1
elliot rose ave	1
mercari way	1
bush rd	1
sunnybrae rd	2
marlborough rd	1
archers rd	1
forrest hill rd	4
havelock ave	1
westlake st	1
parnell rd	1
selwyn ave	1
kohimarama rd	1
sussex st	1
great north rd	10
erin st	1
great south rd	4
bamford pl	1
rosebank rd	3
bailey rd	1
penrose rd	2
kinross st	1
donovan st	1
day st	1
karangahape rd	2
king edward st	1
dominion rd	4
mt eden rd	2
belfast st	1
hillsborough rd	3
ballarat st	1
ellerslie panmure hwy exit 435	2
wellesley street exit 429b	1
symonds st	3
ellerslie panmure roundabout	2
jellicoe rd	1
basin view lane	1
lagoon dr	2
harris rd	1
rocklands ave	1
henley rd	1
balmoral rd	1
malone rd	1
mt wellington hwy	2
turner st	1
queen st	1
marsden ave	1
kelvin rd	1
remuera rd	2
seccombes rd	2
crowhurst st	1
mountain rd	2
albury ave	1
silver rd	1
gillies ave	1
clifton rd	1
wharf rd	1
jervois rd	3
glenside cres	1
kowhai ave	1
sandringham rd	3
ardmore rd	1
blake st	1
cornwall park ave	1
bouzaid way	1
fanshawe st	2
surrey cres	1
premier ave	1
sainsbury rd	1
new north rd	3
rialto crt	1
broadway	2
watling st	1
alfred st	1
princes st	1
jason ave	1
victor st	1
dexter ave	1
point england rd	1
elstree ave	1
ponsonby rd	1
curran st	1
sultan st	1
kalmia st	1
central rd	1
carlton st	1
daldy st	1
olympic pl	1
okahukura rd	1
tamaki dr	1
mt albert rd	2
victoria st	4
te papa rd	1
mt smart rd	1
governor fitzroy pl	1
mayoral dr	1
kingsland ave	1
elliot st	1
rata st	2
rimu st	1
fruitvale rd	1
croydon rd	1
titirangi rd	2
wellesley street west	1
federal st	1
tapora st	1
quay st	1
ash st	1
richmond rd	2
britomart pl	1
commerce st	1
may rd	1
pah rd	1
st lukes rd	1
williamson ave	1
manukau rd	2
khyber pass rd	1
queenstown rd	1
hobson st	1
grafton rd	1
cotesmore way	1
the strand	1
te atatu rd	1
universal dr	1
woodford ave	1
lincoln rd	1
alderman dr	1
don buck rd	2
border rd	1
tom pearce dr	1
bader dr	1
koru st	1
robertson rd	1
kirkbride rd	1
yates rd	1
massey rd	2
wickman way	1
criterion st	1
atkinson ave	2
fort richard rd	1
mangere rd	1
richard ave	2
bucklands beach rd	1
macleans rd	2
butley dr	1
sandspit rd	1
gossamer dr	1
kilkenny dr	1
imatra pl	1
glenmore rd	1
reeves rd	1
somerville rd	1
whitford rd	1
pakuranga rd	1
east tamaki rd	1
portage rd	3
gracechurch dr	1
chapel rd	2
gilbert rd	1
bairds rd	1
highbrook dr	2
treagon pl	1
dawson rd	2
russell rd	3
everglade dr	1
john walker dr	1
weymouth rd	2
browns rd	2
roscommon rd	1
st george st	1
hillcrest rd	1
station rd	1
nicholson ave	1
puhinui rd	1
wiri station rd	1
allenby rd	1
carruth rd	1
baverstock rd	1
murphys rd	2
